Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/concept/entity/people/migration/refugee_household	wm/concept/entity/people/migration/refugee wm/concept/entity/people/household	People (Millions)	null		DOJO/UAZ_VUAZ-7714/VUAZ-7714	DOJO/UAZ_VUAZ-7712/VUAZ-7712	DOJO/UAZ_VUAZ-7700/VUAZ-7700	0	Yes	1	2	BetterCoverage	2		1	0	yes	1	2	BetterCoverage	2		1	"{""id"":""UAZ_VUAZ-8288"", ,""name"":""University of Arizona Indicators """	",""display_name"":""UNHCR: Number of refugees"", ,""description"":""UNHCR: Number of refugees"""		"{""id"":""WDI_refugee_population_by_country_or_territory_of_asylum"", ,""name"":""World Development Indicators"""	",""display_name"":""Refugee population by country or territory of asylum"", ,""description"":""SOURCE NOTE: Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Palestinian refugees are people (and their descendants) whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab-Israeli conflict. Country of asylum is the country where an asylum claim was filed and granted.\\nSOURCE ORGANIZATION: United Nations High Commissioner for Refugees (UNHCR) and UNRWA through UNHCR's Refugee Data Finder at https://www.unhcr.org/refugee-statistics/."""		"{""id"":""101e8e84-d759-4d14-92c3-cd430bade617"", ,""name"":""UNHCR Refugee Data - Country of Origin in the East and Horn of Africa Region"""	",""display_name"":""Refugees Under UNHCR's Mandate"", ,""description"":""number of refugees under unhcr's mandate. these are people who are recognized as refugees by unhcr acting under the authority of its statute and relevant un general assembly resolutions."""		"UAZ datasets are: WDI: Rural population growth, WDI: Rural population, and  WDI: Refugee population by country or territory of origin. Of these, the third dataset is most relevant. The number of refugee households may be what the node is intended to represent. However, the availabile data appear to provide counts of individual persons.  "	UNHCR_Refugees	Refugees under UNHCR's mandate		World Development Indicators	Refugee population by country or territory of asylum		FSI dataset	S2: Refugees and IDPs		"lots of refugee indicators, unlclear if any are ""refugee household"" data"																									
wm/concept/entity/people/migration/refugee_recession	wm/concept/entity/people/migration/refugee wm/concept/crisis_or_disaster/recession	People (Millions)	null		DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/country	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
wm/concept/entity/people/military_personnel_death	wm/concept/entity/people/military_personnel wm/process/population/death	Military Expenditure	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF DEATHS	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF DEATHS																																																													
wm/concept/entity/people/militia	wm/concept/entity/people/militia	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/militia	wm/concept/entity/people/militia	People (Millions)	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/person_or_group	wm/concept/entity/people/person_or_group	People (Millions)	DOJO/fde6ce9f-1470-4833-b2e2-8863956aa86a/Dipole Mode Index (DMI)		DOJO/WDI_rural_population/rural_population	DOJO/WDI_rural_population_of_total_population/rural_population_of_total_population	DOJO/WDI_rural_population_growth_annual/rural_population_growth_annual																																																													
wm/concept/entity/people/voter	wm/concept/entity/people/voter	IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population																																																													
wm/concept/entity/people/voter	wm/concept/entity/people/voter	People (Millions)	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population																																																													
wm/concept/entity/people/voter_turnout	wm/concept/entity/people/voter wm/concept/turnout	null	null		DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population																																																													
wm/concept/entity/people_attack	wm/concept/entity/people/ wm/process/conflict/attack	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED																																																													
wm/concept/entity/people_attack	wm/concept/entity/people/ wm/process/conflict/attack	Prevalence	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED																																																													
wm/concept/entity/people_case_volume	wm/concept/entity/people/ wm/concept/health/case_volume	People (Millions)	null		DOJO/WDI_prevalence_of_hiv_total_of_population_ages_15_49/prevalence_of_hiv_total_of_population_ages_15_49	DOJO/UNHCR_Refugees/others_of_concern	DOJO/WDI_incidence_of_tuberculosis_per_100_000_people/incidence_of_tuberculosis_per_100_000_people																																																													
wm/concept/entity/people_death	wm/concept/entity/people/ wm/process/population/death	Emergency Events Database (EM-DAT)	null		DOJO/UAZ_VUAZ-8389/VUAZ-8389	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)"																																																													
wm/concept/entity/people_illicit_political_financing	wm/concept/entity/people/ wm/concept/government/corruption/corrupt_policy/illicit_political_financing	C1: Security Apparatus	null		DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR	DOJO/101e8e84-d759-4d14-92c3-cd430bade617/IDPs of concern to UNHCR	"DOJO/40fea799-4efc-4a39-991c-346273024ba9/Internally displaced persons, new displacement associated with disasters (number of cases)"																																																													
wm/concept/entity/people_illicit_political_financing	wm/concept/entity/people/ wm/concept/government/corruption/corrupt_policy/illicit_political_financing	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	null		DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR	DOJO/101e8e84-d759-4d14-92c3-cd430bade617/IDPs of concern to UNHCR	"DOJO/40fea799-4efc-4a39-991c-346273024ba9/Internally displaced persons, new displacement associated with disasters (number of cases)"																																																													
wm/concept/entity/people_informing	wm/concept/entity/people/ wm/process/communication/informing	People (Millions)	null		DOJO/99af7f02-2646-4522-9996-8211bbba45c7/What type of work do they look for?	DOJO/UNHCR_Refugees/idps_of_concern_to_unhcr	DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR																																																													
wm/concept/entity/people_injury	wm/concept/entity/people/ wm/concept/health/injury	FSI dataset	null		DOJO/101e8e84-d759-4d14-92c3-cd430bade617/IDPs of concern to UNHCR	DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR	DOJO/UNHCR_Refugees/idps_of_concern_to_unhcr																																																													
wm/concept/entity/people_injury	wm/concept/entity/people/ wm/concept/health/injury	People (Millions)	null		DOJO/101e8e84-d759-4d14-92c3-cd430bade617/IDPs of concern to UNHCR	DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR	DOJO/UNHCR_Refugees/idps_of_concern_to_unhcr																																																													
wm/concept/entity/people_violent	wm/concept/entity/people/ wm/property/violent	The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF DEATHS	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF DEATHS																																																													
wm/concept/entity/religious_entity_government_entity	wm/concept/entity/religious_entity wm/concept/entity/government_entity	Overall Government (Covid) Response Index	null		DOJO/WDI_tertiary_education_academic_staff_female/tertiary_education_academic_staff_female	DOJO/WDI_primary_education_teachers/primary_education_teachers	DOJO/WDI_trained_teachers_in_primary_education_of_total_teachers/trained_teachers_in_primary_education_of_total_teachers																																																													
wm/concept/entity/ruling_party	wm/concept/entity/ruling_party	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/UAZ_VUAZ-7028/VUAZ-7028	0	Node Issue	N/A	1	Node Issue	N/A			0	Node Issue	N/A	2	Node Issue	N/A												"This doesn't appear to be a node that one would expect to quantify.  What about the ruling party is of interest? This may represent an intermediate or preliminary concept in the CAG.  UAZ returns are: ""Election Integrity ; Project - Djibouti - 2016/What government body was this election for?""; ""Election Integrity Project (PEI election-level data/""Office for Which the Election is Being Held""; and ""WDI: Domestic general government health expenditure[% of general government expenditure]"""	Africa Leadership Change (ALC) Dataset - ALC_download_Djibouti_29022020_revised	"PRESIDENTIAL_MULTIP: dummy variable that has value 1 if the country has a presidential multiparty system, otherwise coded 0 (i.e. parliamentary or semi-presidential multiparty system, or dictatorial/non- multiparty regime)."		Election Integrity Project - Djibouti - 2016	Partyreg																														
wm/concept/entity/ruling_party	wm/concept/entity/ruling_party	null	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/UAZ_VUAZ-7028/VUAZ-7028																																																													
wm/concept/entity/ruling_party_illicit_political_financing	wm/concept/entity/ruling_party wm/concept/government/corruption/corrupt_policy/illicit_political_financing	C1: Security Apparatus	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/UAZ_VUAZ-7028/VUAZ-7028																																																													
wm/concept/entity/ruling_party_training	wm/concept/entity/ruling_party wm/process/training/training	Fragile States Index	null		DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force	DOJO/WDI_government_expenditure_on_education_total_of_government_expenditure/government_expenditure_on_education_total_of_government_expenditure	DOJO/WDI_general_government_final_consumption_expenditure_of_gdp/general_government_final_consumption_expenditure_of_gdp																																																													
wm/concept/entity/ruling_party_training	wm/concept/entity/ruling_party wm/process/training/training	"Share Of Youth Not In Education, Employment Or Training, Total (% Of Youth Population)"	null		DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force	DOJO/WDI_government_expenditure_on_education_total_of_government_expenditure/government_expenditure_on_education_total_of_government_expenditure	DOJO/WDI_general_government_final_consumption_expenditure_of_gdp/general_government_final_consumption_expenditure_of_gdp																																																													
wm/concept/entity/urban_households_city	wm/concept/entity/urban_households wm/concept/entity/locations/city	Urban Population	DOJO/b6857933-3449-4b5d-9499-5e58c4a56771/Country		DOJO/UAZ_VUAZ-7862/VUAZ-7862	DOJO/UAZ_VUAZ-7860/VUAZ-7860	DOJO/c0aa766b-519d-4ace-a36e-0b5d53ab9b3e/Population living in slums (% of urban population)																																																													
wm/concept/entity/weapons	wm/concept/entity/weapons	null	null		DOJO/WDI_arms_exports_sipri_trend_indicator_values/arms_exports_sipri_trend_indicator_values	DOJO/WDI_arms_imports_sipri_trend_indicator_values/arms_imports_sipri_trend_indicator_values	DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total																																																													
wm/concept/environment	wm/concept/environment/	Fragile States Index	null		DOJO/WDI_cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high/cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high	DOJO/WDI_methane_emissions_kt_of_co2_equivalent/methane_emissions_kt_of_co2_equivalent	DOJO/UAZ_VUAZ-5869/VUAZ-5869																																																													
wm/concept/environment	wm/concept/environment/	S1: Demographic Pressures	null		DOJO/WDI_cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high/cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high	DOJO/WDI_methane_emissions_kt_of_co2_equivalent/methane_emissions_kt_of_co2_equivalent	DOJO/UAZ_VUAZ-5869/VUAZ-5869																																																													
wm/concept/environment/climate	wm/concept/environment/climate	Vulnerability Index	DOJO/4ef01bb2-55ab-445a-afec-00d18106eabe/Temperature   (Celsius)		DOJO/UAZ_VUAZ-828/VUAZ-828	DOJO/UAZ_VUAZ-829/VUAZ-829	DOJO/UAZ_VUAZ-1055/VUAZ-1055																																																													
